subid,class_num,grade,pv_avg,condition
S2-18-02,S2_18,second,1,mental abacus
S2-18-06,S2_18,second,0.27,mental abacus
S2-18-07,S2_18,second,0,mental abacus
S2-18-09,S2_18,second,0.45,mental abacus
S2-18-10,S2_18,second,0.45,mental abacus
S2-18-11,S2_18,second,0.36,mental abacus
S2-18-12,S2_18,second,0.82,mental abacus
S2-18-13,S2_18,second,0.91,mental abacus
S2-18-15,S2_18,second,1,mental abacus
S2-18-16,S2_18,second,0.45,mental abacus
S2-18-17,S2_18,second,0.64,mental abacus
S2-18-19,S2_18,second,1,mental abacus
S2-18-20,S2_18,second,1,mental abacus
S2-19-01,S2_19,second,0.45,control
S2-19-03,S2_19,second,0.36,control
S2-19-04,S2_19,second,0.45,control
S2-19-05,S2_19,second,0.36,control
S2-19-06,S2_19,second,0,control
S2-19-07,S2_19,second,0.27,control
S2-19-08,S2_19,second,0.73,control
S2-19-09,S2_19,second,0.18,control
S2-19-11,S2_19,second,0.45,control
S2-19-12,S2_19,second,1,control
S2-19-13,S2_19,second,0.91,control
S2-19-14,S2_19,second,0.27,control
S2-19-18,S2_19,second,0.27,control
