workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
632,1,957,1,1,10,6:Attn19s
587,1,432,1,1,10,6:Attn19s
576,3,665,1,0,10,6:Attn19s
584,7,569,0,0,10,6:Attn19s
626,7,464,0,0,10,6:Attn19s
598,5,580,0,1,10,6:Attn19s
592,7,544,0,0,10,6:Attn19s
595,1,635,1,1,10,6:Attn19s
574,5,2492,0,1,10,6:Attn19s
590,7,525,0,0,11,6:Attn19s
593,3,496,1,0,11,6:Attn19s
604,1,670,1,1,11,6:Attn19s
610,1,498,1,1,11,6:Attn19s
263,7,426,0,0,11,6:Attn19s
580,1,788,1,1,11,6:Attn19s
630,3,482,1,0,11,6:Attn19s
567,7,654,0,0,11,6:Attn19s
602,1,743,1,1,11,6:Attn19s
606,5,502,0,1,11,6:Attn19s
273,1,483,1,1,11,6:Attn19s
609,5,566,0,1,11,6:Attn19s
575,3,656,1,0,11,6:Attn19s
612,5,1005,0,1,11,6:Attn19s
588,5,616,0,1,11,6:Attn19s
577,3,489,1,0,11,6:Attn19s
569,5,528,0,1,11,6:Attn19s
583,1,617,1,1,11,6:Attn19s
572,1,537,1,1,11,6:Attn19s
573,3,509,1,0,11,6:Attn19s
605,7,492,0,0,11,6:Attn19s
611,1,529,1,1,11,6:Attn19s
568,3,631,1,0,11,6:Attn19s
599,7,579,0,0,11,6:Attn19s
607,1,672,1,1,11,6:Attn19s
571,7,714,0,0,11,6:Attn19s
616,7,632,0,0,11,6:Attn19s
613,5,423,0,1,11,6:Attn19s
594,7,857,0,0,11,6:Attn19s
635,5,395,0,1,11,6:Attn19s
608,5,698,0,1,11,6:Attn19s
586,1,1190,1,1,11,6:Attn19s
632,3,938,1,0,11,6:Attn19s
625,1,406,1,1,11,6:Attn19s
621,7,463,0,0,11,6:Attn19s
587,5,401,0,1,11,6:Attn19s
2,5,401,0,1,11,6:Attn19s
576,5,577,0,1,11,6:Attn19s
581,1,674,1,1,11,6:Attn19s
626,1,480,1,1,11,6:Attn19s
634,3,711,1,0,11,6:Attn19s
600,1,569,1,1,11,6:Attn19s
595,1,635,1,1,11,6:Attn19s
629,5,463,0,1,12,6:Attn19s
578,5,718,0,1,12,6:Attn19s
590,3,476,1,0,12,6:Attn19s
593,1,647,1,1,12,6:Attn19s
604,5,487,0,1,12,6:Attn19s
622,3,464,1,0,12,6:Attn19s
610,5,571,0,1,12,6:Attn19s
582,3,835,1,0,12,6:Attn19s
623,1,841,1,1,12,6:Attn19s
579,5,537,0,1,12,6:Attn19s
630,3,416,1,0,12,6:Attn19s
567,3,724,1,0,12,6:Attn19s
636,3,358,1,0,12,6:Attn19s
148,7,628,0,0,12,6:Attn19s
273,5,615,0,1,12,6:Attn19s
628,3,487,1,0,12,6:Attn19s
221,1,579,1,1,12,6:Attn19s
601,1,557,1,1,12,6:Attn19s
588,1,567,1,1,12,6:Attn19s
615,3,414,1,0,12,6:Attn19s
569,7,485,0,0,12,6:Attn19s
583,3,707,1,0,12,6:Attn19s
572,5,486,0,1,12,6:Attn19s
573,1,509,1,1,12,6:Attn19s
605,3,574,1,0,12,6:Attn19s
611,5,553,0,1,12,6:Attn19s
568,1,1626,1,1,12,6:Attn19s
570,3,486,1,0,12,6:Attn19s
596,5,475,0,1,12,6:Attn19s
607,1,553,1,1,12,6:Attn19s
571,1,495,1,1,12,6:Attn19s
591,7,508,0,0,12,6:Attn19s
597,5,480,0,1,12,6:Attn19s
603,7,898,0,0,12,6:Attn19s
