prime,prime.result,target,congruent,operand,distance,counterbalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
=7+1+4,12,10,no,A,2,1,523,628,1048,596,596,560,628,628,804,803,628,628,NA,NA,595,664,456,457,664,524,524
=7+1+5,13,9,no,A,4,1,975,560,804,663,700,664,561,976,628,524,492,560,628,628,627,596,524,525,664,628,597
=7+2+1,10,11,no,A,-1,1,737,596,735,1011,664,628,699,665,735,628,596,595,701,560,840,NA,596,456,596,492,736
=8+2+1,11,9,no,A,2,1,803,596,804,629,700,700,523,560,628,1152,523,595,629,491,840,664,523,493,525,664,700
=8+2+4,14,11,no,A,3,1,804,664,768,628,700,699,735,805,804,596,769,804,664,596,736,804,NA,492,976,NA,736
=1+2+9,12,12,yes,A,0,1,736,596,907,803,944,768,736,909,664,NA,628,735,664,595,804,803,699,595,664,628,664
=1+3+6,10,10,yes,A,0,1,596,736,1188,596,492,664,628,NA,700,628,840,523,628,524,597,700,560,456,664,524,596
=1+5+3,9,9,yes,A,0,1,841,524,768,596,597,596,595,700,699,872,559,975,840,559,664,664,523,524,596,628,628
=1+6+2,9,9,yes,A,0,1,872,560,768,NA,524,664,664,663,737,736,769,804,700,492,596,700,596,456,628,525,525
=1+7+2,10,10,yes,A,0,1,700,664,700,NA,596,664,664,560,597,NA,492,664,700,523,629,700,456,596,628,NA,664
=2+3+5,10,10,yes,A,0,1,596,908,736,628,524,872,560,628,700,663,524,559,596,525,664,872,NA,525,596,596,560
=2+4+5,11,11,yes,A,0,1,804,492,804,628,664,700,664,872,NA,NA,664,NA,NA,559,769,805,596,627,1116,597,767
=2+6+4,12,12,yes,A,0,1,700,700,943,735,664,1048,664,769,524,559,596,735,628,699,840,700,664,596,628,628,628
=2+7+5,14,14,yes,A,0,1,804,736,840,736,664,908,561,701,1011,664,628,248,768,596,1012,597,596,525,700,597,664
=2+8+1,11,11,yes,A,0,1,804,627,908,1012,699,628,700,596,736,596,664,NA,664,420,872,768,628,596,629,628,735
=3+1+4,8,8,yes,A,0,1,596,839,735,908,736,664,524,700,908,456,1013,559,736,596,872,700,525,456,665,628,768
=3+2+4,9,9,yes,A,0,1,596,560,839,737,945,804,629,700,595,768,523,560,664,597,NA,737,596,597,596,595,595
=3+2+6,11,11,yes,A,0,1,804,664,737,628,NA,213,805,737,663,597,560,596,664,524,664,804,NA,596,664,628,767
=3+7+1,11,11,yes,A,0,1,908,524,1084,596,628,664,664,840,737,523,561,597,597,596,804,768,559,597,559,664,525
=4+1+5,10,10,yes,A,0,1,560,701,804,560,524,492,699,664,767,628,456,664,NA,559,701,596,523,420,596,560,596
=4+1+6,11,11,yes,A,0,1,804,596,945,664,700,595,840,700,840,628,664,699,596,700,804,736,665,492,NA,597,628
=4+2+3,9,9,yes,A,0,1,768,525,1084,700,664,908,628,597,664,664,596,596,NA,561,628,663,248,524,700,664,699
=4+2+6,12,12,yes,A,0,1,700,664,665,NA,NA,1152,561,804,840,699,664,664,628,700,975,768,560,456,664,769,701
=4+2+7,13,13,yes,A,0,1,596,596,525,700,699,629,768,NA,736,628,628,664,664,628,561,629,628,560,664,595,628
=4+5+1,10,10,yes,A,0,1,872,871,1188,1084,768,628,560,561,628,628,664,524,664,628,597,664,560,456,664,524,596
=4+5+2,11,11,yes,A,0,1,803,736,769,NA,597,525,628,840,841,628,664,736,628,700,735,596,384,664,628,492,700
=4+7+1,12,12,yes,A,0,1,804,628,803,839,628,1048,628,804,840,737,628,840,664,597,736,735,492,628,804,664,737
=5+1+2,8,8,yes,A,0,1,840,492,804,768,736,559,628,736,908,1708,700,596,736,664,840,628,596,560,664,597,596
=5+3+1,9,9,yes,A,0,1,NA,596,909,628,524,628,664,665,628,664,524,352,596,597,872,872,560,628,597,596,595
=5+3+2,10,10,yes,A,0,1,768,871,1255,628,628,524,596,664,596,700,628,628,596,524,768,596,492,492,737,491,NA
=5+3+4,12,12,yes,A,0,1,976,840,736,1049,628,596,664,664,560,455,663,NA,665,664,701,840,560,596,737,628,664
=6+1+5,12,12,yes,A,0,1,735,596,768,664,664,872,664,665,664,871,768,700,595,736,737,908,628,524,628,700,665
=6+2+1,9,9,yes,A,0,1,976,559,1048,596,560,597,523,736,627,560,597,420,629,560,628,736,664,559,768,561,628
=6+2+3,11,11,yes,A,0,1,803,736,1189,628,628,596,768,737,840,664,597,628,768,597,840,805,560,595,664,805,735
=6+4+2,12,12,yes,A,0,1,628,735,664,700,628,700,596,628,840,1220,628,491,701,560,977,628,492,524,805,700,664
=6+4+3,13,13,yes,A,0,1,NA,664,872,700,735,701,628,872,736,872,701,492,596,596,664,627,664,628,595,596,628
=6+5+2,13,13,yes,A,0,1,699,701,873,700,735,840,628,596,628,523,628,840,736,664,804,665,596,524,597,597,596
=7+2+3,12,12,yes,A,0,1,664,560,769,664,596,699,595,768,NA,1012,769,NA,700,628,768,871,628,524,560,597,596
=7+3+1,11,11,yes,A,0,1,839,628,872,976,NA,596,737,664,767,735,803,628,596,700,664,945,597,595,804,628,559
=7+3+2,12,12,yes,A,0,1,595,804,908,769,701,456,595,840,804,1012,628,628,736,664,700,700,524,597,769,664,595
=7+3+4,14,14,yes,A,0,1,767,561,736,560,560,493,769,804,664,664,664,596,805,665,559,664,492,628,700,140,596
=8+2+3,13,13,yes,A,0,1,700,596,1256,840,628,628,561,767,736,699,664,804,628,804,736,736,628,596,628,597,803
=9+1+2,12,12,yes,A,0,1,736,628,907,909,699,767,699,737,628,872,596,628,628,628,840,736,560,596,737,596,628
=9+1+3,13,13,yes,A,0,1,769,737,944,663,492,803,628,628,700,1084,804,975,628,596,664,699,560,560,804,664,596
=9+3+1,13,13,yes,A,0,1,700,595,768,908,700,664,664,769,871,872,664,597,664,943,1360,841,NA,493,596,664,NA
=3-1-2,0,4,no,S,-4,1,664,664,804,663,596,561,597,664,664,560,735,735,560,492,628,767,561,595,628,559,628
=4-3-1,0,2,no,S,-2,1,768,735,803,628,597,943,737,736,768,664,735,737,628,736,768,701,596,597,701,700,664
=5-1-4,0,3,no,S,-3,1,840,872,735,735,699,559,700,664,665,628,736,736,560,628,560,735,596,597,769,596,525
=5-3-2,0,1,no,S,-1,1,804,664,804,872,664,976,736,872,841,524,525,560,665,664,596,804,700,735,804,628,492
=6-1-2,3,0,no,S,3,1,561,736,840,597,525,664,595,628,628,628,736,840,525,560,596,663,456,524,736,524,525
=6-1-3,2,0,no,S,2,1,736,596,805,561,664,524,628,628,664,596,NA,597,559,492,700,804,492,492,596,420,560
=6-3-2,1,4,no,S,-3,1,664,524,736,700,524,945,628,628,664,700,628,456,628,700,560,736,560,560,595,560,736
=6-4-2,0,1,no,S,-1,1,803,595,1219,628,699,664,492,737,767,736,628,736,492,597,524,944,664,456,804,560,524
=6-5-1,0,3,no,S,-3,1,628,700,872,628,700,628,596,700,700,628,664,768,560,628,701,628,628,523,596,629,560
=7-1-2,4,0,no,S,4,1,560,597,872,561,561,664,628,559,700,596,NA,524,700,628,664,700,664,420,596,524,493
=7-1-4,2,0,no,S,2,1,628,559,700,628,456,628,596,628,803,456,NA,663,561,595,559,736,560,523,736,524,NA
=7-1-6,0,3,no,S,-3,1,944,803,1084,628,559,768,492,664,736,664,525,805,628,596,664,597,628,560,596,524,NA
=7-2-4,1,0,no,S,1,1,596,664,NA,627,597,596,491,908,841,628,700,700,561,456,629,596,560,523,596,596,975
=7-2-5,0,1,no,S,-1,1,840,700,908,455,664,736,700,872,663,736,840,628,663,628,664,595,700,664,595,663,595
=7-4-3,0,1,no,S,-1,1,805,804,976,805,664,768,804,664,872,769,736,840,664,595,560,665,597,701,628,1084,524
=8-1-2,5,0,no,S,5,1,700,700,944,NA,525,628,597,596,664,628,524,664,664,596,596,803,492,492,664,628,803
=8-1-3,4,0,no,S,4,1,560,663,736,596,559,595,628,NA,NA,595,629,NA,595,NA,524,736,596,560,664,456,700
=8-1-5,2,0,no,S,2,1,559,736,NA,596,595,596,628,597,596,767,493,492,628,524,597,595,595,384,628,492,840
=8-1-7,0,5,no,S,-5,1,700,768,700,1708,664,908,628,596,700,561,664,596,628,700,492,664,665,595,664,595,560
=8-2-5,1,6,no,S,-5,1,NA,873,944,664,700,628,NA,628,804,872,699,804,664,456,700,803,663,597,699,700,804
=8-3-5,0,2,no,S,-2,1,804,700,976,664,664,560,700,804,804,664,664,872,736,664,627,736,560,664,665,664,524
=8-4-1,3,0,no,S,3,1,628,NA,768,664,561,596,493,1012,767,736,NA,596,628,595,NA,803,560,NA,628,NA,561
=8-4-3,1,0,no,S,1,1,767,628,804,628,456,NA,560,736,736,768,700,872,664,628,523,804,523,457,628,492,456
=8-6-2,0,5,no,S,-5,1,736,768,944,596,491,560,596,736,596,596,736,805,560,736,596,664,804,561,699,492,664
=9-1-2,6,3,no,S,3,1,664,248,700,628,700,803,664,628,664,628,700,872,664,524,559,665,561,524,628,701,525
=9-1-8,0,2,no,S,-2,1,768,699,1048,664,664,700,700,840,701,736,664,NA,628,524,736,805,628,628,699,701,735
=9-2-3,4,0,no,S,4,1,944,628,701,524,456,664,524,664,595,595,523,664,559,492,524,840,560,560,628,456,493
=9-2-4,3,0,no,S,3,1,804,872,767,559,420,840,597,628,803,595,456,524,524,455,1152,699,456,523,700,NA,768
=9-2-6,1,0,no,S,1,1,491,628,872,560,803,663,628,1188,664,736,701,628,595,492,524,803,NA,492,664,492,455
=9-3-1,5,0,no,S,5,1,664,559,944,700,628,699,628,871,664,767,736,700,597,523,492,803,492,596,664,492,628
=9-4-3,2,1,no,S,1,1,524,628,1012,803,840,596,736,803,840,768,596,804,664,663,597,872,664,596,908,595,597
=9-5-1,3,2,no,S,1,1,664,735,908,767,700,737,700,664,804,628,664,NA,595,523,492,804,560,493,736,737,767
=9-5-3,1,0,no,S,1,1,736,492,737,596,597,769,525,628,664,456,700,663,596,596,560,700,560,523,803,456,524
=9-5-4,0,2,no,S,-2,1,737,804,1013,457,663,559,595,804,700,663,768,908,735,561,736,663,628,628,735,737,664
=9-6-1,2,0,no,S,2,1,872,908,804,628,664,525,596,700,NA,NA,456,560,596,560,839,805,595,561,664,456,559
=9-6-3,0,1,no,S,-1,1,873,596,840,699,736,736,872,736,769,736,597,737,628,559,628,804,700,628,737,455,456
=9-7-2,0,4,no,S,-4,1,664,627,872,596,628,628,804,595,664,107,597,561,524,525,628,664,595,491,628,561,628
=3-2-1,0,0,yes,S,0,1,737,664,736,596,NA,736,560,872,629,456,596,560,628,663,493,664,456,523,664,628,628
=4-1-3,0,0,yes,S,0,1,561,628,840,700,664,560,524,1084,700,560,523,561,628,NA,561,768,248,560,628,560,NA
=5-2-3,0,0,yes,S,0,1,523,628,803,736,560,840,700,596,628,559,456,595,596,596,628,701,560,561,560,559,492
=5-4-1,0,0,yes,S,0,1,664,628,805,628,559,804,664,872,664,665,596,665,628,805,561,767,700,523,700,456,700
=6-1-5,0,0,yes,S,0,1,664,628,841,596,596,559,524,840,628,628,559,804,559,523,456,664,525,524,841,523,561
=6-2-1,3,3,yes,S,0,1,769,NA,840,628,492,664,628,699,629,628,804,524,NA,524,596,664,664,560,525,596,525
=6-2-3,1,1,yes,S,0,1,596,664,944,664,768,736,560,803,768,560,841,664,664,628,560,664,700,492,NA,493,492
=6-2-4,0,0,yes,S,0,1,524,943,1012,561,595,664,524,736,628,596,701,700,664,561,597,840,456,456,1011,492,524
=6-3-1,2,2,yes,S,0,1,768,700,943,840,664,628,700,700,803,737,664,804,524,596,628,839,627,664,736,699,492
=7-2-1,4,4,yes,S,0,1,596,628,804,664,523,561,524,597,803,628,NA,524,560,595,560,628,596,492,596,561,596
=7-3-4,0,0,yes,S,0,1,523,492,663,805,NA,976,628,628,627,597,560,700,597,493,700,699,524,456,735,493,560
=7-4-1,2,2,yes,S,0,1,736,768,804,492,805,840,664,736,804,699,628,699,701,NA,101,700,628,628,664,700,628
=7-4-2,1,1,yes,S,0,1,839,664,944,735,628,735,803,628,768,176,595,805,597,628,627,840,595,628,872,491,664
=7-5-2,0,0,yes,S,0,1,664,212,701,700,315,596,595,700,628,523,596,561,596,493,456,840,492,492,628,NA,524
=7-6-1,0,0,yes,S,0,1,597,524,664,663,456,664,628,1153,701,NA,456,524,628,664,596,944,560,456,596,492,840
=8-1-4,3,3,yes,S,0,1,871,664,NA,767,664,664,628,629,524,561,700,700,628,595,176,841,596,524,701,628,523
=8-2-1,5,5,yes,S,0,1,700,NA,768,664,627,664,560,628,629,560,872,699,561,629,628,1048,596,595,699,628,491
=8-2-6,0,0,yes,S,0,1,664,596,839,596,NA,664,597,805,700,663,596,525,628,700,663,804,561,492,628,NA,383
=8-3-1,4,4,yes,S,0,1,628,664,804,628,628,664,596,700,700,524,524,700,596,664,596,737,524,523,700,596,977
=8-3-4,1,1,yes,S,0,1,768,664,872,628,699,628,701,737,737,663,628,560,701,664,524,768,628,560,908,492,492
=8-5-1,2,2,yes,S,0,1,804,664,804,628,628,804,628,596,804,628,736,907,525,700,524,560,560,664,700,663,597
=8-5-2,1,1,yes,S,0,1,525,628,976,736,944,840,736,768,872,736,737,804,664,767,664,736,628,560,596,628,560
=8-5-3,0,0,yes,S,0,1,NA,NA,803,597,525,NA,595,561,628,492,492,NA,597,560,560,699,560,560,595,523,664
=8-7-1,0,0,yes,S,0,1,663,664,803,597,560,628,NA,559,663,1187,NA,596,595,491,523,628,596,525,628,804,596
=9-1-3,5,5,yes,S,0,1,700,840,840,596,664,664,596,664,597,NA,736,596,735,735,456,803,560,524,663,664,456
=9-1-5,3,3,yes,S,0,1,664,628,700,NA,559,737,597,559,595,559,664,768,597,664,560,736,560,560,735,665,629
=9-1-6,2,2,yes,S,0,1,735,767,872,NA,700,840,NA,735,768,699,769,664,595,560,803,769,596,628,700,664,596
=9-2-1,6,6,yes,S,0,1,700,803,1047,664,628,596,737,597,700,628,735,805,664,597,559,908,699,596,700,560,559
=9-2-7,0,0,yes,S,0,1,664,560,804,628,492,628,769,700,664,597,596,597,596,596,596,735,492,420,736,456,523
=9-3-2,4,4,yes,S,0,1,595,736,700,664,803,597,561,735,NA,456,629,736,597,628,525,840,524,493,628,596,456
=9-3-4,2,2,yes,S,0,1,840,804,976,736,664,524,628,803,700,627,561,945,628,595,735,736,664,596,664,699,700
=9-3-5,1,1,yes,S,0,1,768,595,907,871,664,736,768,736,735,736,700,736,664,664,456,769,596,596,628,737,525
=9-3-6,0,0,yes,S,0,1,664,736,805,736,491,560,597,597,840,492,736,944,663,596,596,664,559,524,628,NA,664
=9-4-2,3,3,yes,S,0,1,701,804,805,737,736,596,561,664,596,805,524,524,595,628,736,700,629,628,628,559,524
=9-4-5,0,0,yes,S,0,1,524,736,908,596,560,944,629,596,629,560,628,524,595,456,701,767,525,701,664,456,456
=9-6-2,1,1,yes,S,0,1,873,699,908,316,596,736,768,699,735,664,664,663,700,628,559,596,597,596,560,595,523
=9-8-1,0,0,yes,S,0,1,560,908,909,629,493,628,420,736,736,NA,559,560,559,560,595,840,NA,628,945,492,595
